algo,trace,time,failures
FIRST_FIT,trace-firstfit,4.884727068,0
FIRST_FIT,trace-firstfit,4.847176916,0
FIRST_FIT,trace-firstfit,4.856513916,0
FIRST_FIT,trace-firstfit,4.903211369,0
FIRST_FIT,trace-firstfit,2.414409477,0
FIRST_FIT,trace-firstfit,4.803416021,0
FIRST_FIT,trace-firstfit,4.865769975,0
FIRST_FIT,trace-firstfit,4.823101256,0
FIRST_FIT,trace-firstfit,4.901402750,0
FIRST_FIT,trace-firstfit,4.849983173,0
FIRST_FIT,trace-firstfit,4.845083104,0
FIRST_FIT,trace-firstfit,2.391016310,0
FIRST_FIT,trace-firstfit,4.892971725,0
FIRST_FIT,trace-firstfit,4.819381956,0
FIRST_FIT,trace-firstfit,4.852358322,0
FIRST_FIT,trace-firstfit,4.816249895,0
FIRST_FIT,trace-firstfit,4.819289492,0
FIRST_FIT,trace-firstfit,2.385107303,0
FIRST_FIT,trace-firstfit,4.832157200,0
FIRST_FIT,trace-firstfit,4.813533892,0
FIRST_FIT,trace-firstfit,4.861925201,0
FIRST_FIT,trace-firstfit,4.805031585,0
FIRST_FIT,trace-firstfit,4.813173994,0
FIRST_FIT,trace-firstfit,4.819806994,0
FIRST_FIT,trace-firstfit,4.825200316,0
FIRST_FIT,trace-firstfit,4.905755527,0
FIRST_FIT,trace-firstfit,4.827973443,0
FIRST_FIT,trace-firstfit,1.140492088,0
FIRST_FIT,trace-firstfit,4.871512099,0
FIRST_FIT,trace-firstfit,4.811633148,0
FIRST_FIT,trace-nextfit,5.667296806,0
FIRST_FIT,trace-nextfit,5.748092810,0
FIRST_FIT,trace-nextfit,5.643719953,0
FIRST_FIT,trace-nextfit,3.161746440,0
FIRST_FIT,trace-nextfit,5.702226714,0
FIRST_FIT,trace-nextfit,5.696791668,0
FIRST_FIT,trace-nextfit,5.686339925,0
FIRST_FIT,trace-nextfit,5.769564567,0
FIRST_FIT,trace-nextfit,5.660042393,0
FIRST_FIT,trace-nextfit,3.281883032,0
FIRST_FIT,trace-nextfit,5.753388659,0
FIRST_FIT,trace-nextfit,5.694638496,0
FIRST_FIT,trace-nextfit,5.767020446,0
FIRST_FIT,trace-nextfit,5.672135517,0
FIRST_FIT,trace-nextfit,3.156068159,0
FIRST_FIT,trace-nextfit,5.716840186,0
FIRST_FIT,trace-nextfit,5.683053893,0
FIRST_FIT,trace-nextfit,5.744952010,0
FIRST_FIT,trace-nextfit,5.722791910,0
FIRST_FIT,trace-nextfit,5.670520021,0
FIRST_FIT,trace-nextfit,4.566823779,0
FIRST_FIT,trace-nextfit,6.846330777,0
FIRST_FIT,trace-nextfit,7.143971159,0
FIRST_FIT,trace-nextfit,6.604671840,0
FIRST_FIT,trace-nextfit,7.324508211,0
FIRST_FIT,trace-nextfit,3.959257931,0
FIRST_FIT,trace-nextfit,6.827086380,0
FIRST_FIT,trace-nextfit,6.164792603,0
FIRST_FIT,trace-nextfit,6.173822166,0
FIRST_FIT,trace-nextfit,6.365818894,0
FIRST_FIT,trace-bestfit,13.537864171,2
FIRST_FIT,trace-bestfit,15.356731537,2
FIRST_FIT,trace-bestfit,11.851444458,2
FIRST_FIT,trace-bestfit,14.390934255,2
FIRST_FIT,trace-bestfit,11.786903705,2
FIRST_FIT,trace-bestfit,14.188332932,2
FIRST_FIT,trace-bestfit,12.126410111,2
FIRST_FIT,trace-bestfit,14.369551619,2
FIRST_FIT,trace-bestfit,11.984007448,2
FIRST_FIT,trace-bestfit,14.624853017,2
FIRST_FIT,trace-bestfit,14.309486095,2
FIRST_FIT,trace-bestfit,11.822100816,2
FIRST_FIT,trace-bestfit,14.298579028,2
FIRST_FIT,trace-bestfit,11.951567975,2
FIRST_FIT,trace-bestfit,14.449281984,2
FIRST_FIT,trace-bestfit,11.761914046,2
FIRST_FIT,trace-bestfit,14.053789038,2
FIRST_FIT,trace-bestfit,11.460339102,2
FIRST_FIT,trace-bestfit,13.999898494,2
FIRST_FIT,trace-bestfit,14.129288133,2
FIRST_FIT,trace-bestfit,11.456527826,2
FIRST_FIT,trace-bestfit,14.031097593,2
FIRST_FIT,trace-bestfit,11.483140852,2
FIRST_FIT,trace-bestfit,13.900498989,2
FIRST_FIT,trace-bestfit,11.441381687,2
FIRST_FIT,trace-bestfit,13.985480233,2
FIRST_FIT,trace-bestfit,13.785150931,2
FIRST_FIT,trace-bestfit,11.588096726,2
FIRST_FIT,trace-bestfit,13.858688801,2
FIRST_FIT,trace-bestfit,11.349506442,2
FIRST_FIT,trace-worstfit,7.396434578,5
FIRST_FIT,trace-worstfit,7.420411604,5
FIRST_FIT,trace-worstfit,7.449828018,5
FIRST_FIT,trace-worstfit,4.925588577,5
FIRST_FIT,trace-worstfit,7.868735594,5
FIRST_FIT,trace-worstfit,7.874063290,5
FIRST_FIT,trace-worstfit,7.398254188,5
FIRST_FIT,trace-worstfit,5.011946595,5
FIRST_FIT,trace-worstfit,7.416784199,5
FIRST_FIT,trace-worstfit,7.381655819,5
FIRST_FIT,trace-worstfit,7.461010462,5
FIRST_FIT,trace-worstfit,7.425463440,5
FIRST_FIT,trace-worstfit,4.891020461,5
FIRST_FIT,trace-worstfit,7.452964747,5
FIRST_FIT,trace-worstfit,7.410417978,5
FIRST_FIT,trace-worstfit,7.366739218,5
FIRST_FIT,trace-worstfit,4.944265150,5
FIRST_FIT,trace-worstfit,7.408192435,5
FIRST_FIT,trace-worstfit,7.400440826,5
FIRST_FIT,trace-worstfit,7.408989606,5
FIRST_FIT,trace-worstfit,4.884559848,5
FIRST_FIT,trace-worstfit,7.343555706,5
FIRST_FIT,trace-worstfit,7.539770832,5
FIRST_FIT,trace-worstfit,7.422537890,5
FIRST_FIT,trace-worstfit,7.370957618,5
FIRST_FIT,trace-worstfit,4.933949111,5
FIRST_FIT,trace-worstfit,7.390844026,5
FIRST_FIT,trace-worstfit,7.437538107,5
FIRST_FIT,trace-worstfit,7.474457483,5
FIRST_FIT,trace-worstfit,4.967044961,5
NEXT_FIT,trace-firstfit,.821425389,5
NEXT_FIT,trace-firstfit,.860068808,5
NEXT_FIT,trace-firstfit,.811591578,5
NEXT_FIT,trace-firstfit,.801205136,5
NEXT_FIT,trace-firstfit,.797015519,5
NEXT_FIT,trace-firstfit,.897911226,5
NEXT_FIT,trace-firstfit,.899788901,5
NEXT_FIT,trace-firstfit,.881693433,5
NEXT_FIT,trace-firstfit,.873520799,5
NEXT_FIT,trace-firstfit,.870413025,5
NEXT_FIT,trace-firstfit,.972280873,5
NEXT_FIT,trace-firstfit,.920984482,5
NEXT_FIT,trace-firstfit,.921131793,5
NEXT_FIT,trace-firstfit,.930769675,5
NEXT_FIT,trace-firstfit,.897175580,5
NEXT_FIT,trace-firstfit,.902172104,5
NEXT_FIT,trace-firstfit,.975049516,5
NEXT_FIT,trace-firstfit,.900186806,5
NEXT_FIT,trace-firstfit,.866607442,5
NEXT_FIT,trace-firstfit,.845895660,5
NEXT_FIT,trace-firstfit,.903652333,5
NEXT_FIT,trace-firstfit,.848540563,5
NEXT_FIT,trace-firstfit,.851433416,5
NEXT_FIT,trace-firstfit,.840821363,5
NEXT_FIT,trace-firstfit,.891440416,5
NEXT_FIT,trace-firstfit,.849050603,5
NEXT_FIT,trace-firstfit,.854884420,5
NEXT_FIT,trace-firstfit,.910674729,5
NEXT_FIT,trace-firstfit,.882173659,5
NEXT_FIT,trace-firstfit,.894979851,5
NEXT_FIT,trace-nextfit,.511002707,0
NEXT_FIT,trace-nextfit,.524485605,0
NEXT_FIT,trace-nextfit,.473459933,0
NEXT_FIT,trace-nextfit,1.977757058,0
NEXT_FIT,trace-nextfit,.456158704,0
NEXT_FIT,trace-nextfit,.453621503,0
NEXT_FIT,trace-nextfit,.456964622,0
NEXT_FIT,trace-nextfit,.458168326,0
NEXT_FIT,trace-nextfit,.465872354,0
NEXT_FIT,trace-nextfit,.455279492,0
NEXT_FIT,trace-nextfit,.459045515,0
NEXT_FIT,trace-nextfit,.515909473,0
NEXT_FIT,trace-nextfit,.451749076,0
NEXT_FIT,trace-nextfit,.456967063,0
NEXT_FIT,trace-nextfit,.454865026,0
